Name,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
AMEH,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
AMEH,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
AMEH,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
AMEH,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
AMEH,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
AMEH,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
AMEH,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
APTK,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
APTK,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
APTK,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
APTK,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
APTK,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
APTK,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
APTK,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
APTK,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
APTK,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
APTK,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
APTK,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
APTK,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
APTK,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
APTK,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
APTK,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
APTK,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
APTK,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
APTK,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
APTK,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
APTK,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
APTK,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
ATPP,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ATPP,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ATPP,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ATPP,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ATPP,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ATPP,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ATPP,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ATPP,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ATPP,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ATPP,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ATPP,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ATPP,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ATPP,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ATPP,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
ATPP,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
ATPP,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ATPP,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ATPP,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ATPP,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ATPP,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
ATPP,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
AUMK,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
AUMK,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
AUMK,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
AUMK,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
AUMK,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
AUMK,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
AUMK,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
AUMK,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
